month;day;feminicide;homicide;felony_murder;bodily_harm;theft_cellphone;robbery_cellphone;theft_auto;armed_robbery_auto;criminal_index
11;24;0;6;0;0;600;650;284;196;1736
11;25;0;0;0;0;554;614;210;196;1574
11;26;0;8;0;0;310;526;216;176;1236
11;27;0;4;0;0;390;622;252;124;1392
11;28;0;8;0;0;502;596;356;176;1638
11;29;0;6;2;0;412;600;326;200;1546
11;30;0;0;2;0;476;596;356;210;1640
12;1;0;12;0;0;514;606;252;190;1574
12;2;0;10;0;0;540;614;172;226;1562
12;3;0;0;0;0;380;550;212;178;1320
12;4;0;4;0;0;392;544;210;146;1296
12;5;0;8;0;0;454;580;354;224;1620
12;6;0;6;0;0;448;628;358;160;1600
12;7;0;2;0;0;504;568;258;186;1518
12;8;0;8;0;0;526;572;240;196;1542
12;9;0;4;0;0;548;568;190;200;1510
12;10;0;20;2;0;342;554;134;156;1208
12;11;0;4;0;0;368;518;216;150;1256
12;12;0;8;0;0;444;546;226;158;1382
12;13;0;10;0;0;466;596;266;176;1514
12;14;0;14;0;0;406;596;240;190;1446
12;15;0;4;0;0;564;592;206;162;1528
12;16;0;6;0;0;702;558;146;180;1592
12;17;0;30;6;0;752;644;120;204;1756
12;18;0;6;0;0;388;548;120;146;1208
12;19;0;4;0;0;478;536;166;212;1396
12;20;0;6;0;0;488;610;146;158;1408
12;21;0;0;0;0;344;492;176;196;1208
12;22;0;10;2;0;464;546;178;216;1416
12;23;0;20;0;0;496;608;104;268;1496
12;24;0;18;0;0;244;560;74;420;1316
12;25;0;20;2;0;140;344;76;164;746
12;26;0;4;0;0;262;432;92;70;860
12;27;0;12;0;2;330;562;120;156;1182
12;28;0;4;0;0;332;472;114;146;1068
12;29;0;10;2;0;312;498;84;176;1082
12;30;0;16;0;0;256;396;94;134;896
12;31;0;12;0;0;468;432;80;190;1182
